,titulo,preco,descricao,paginas,idioma,editora,autor,genero,img_link
0,Venda e informação: O perfil do vendedor de sucesso,"R$ 16,17","Informação é poder, mas só se utilizada.
E essa é, digamos, uma das profissões mais difíceis que existem e por isso também uma das mais bem pagas. Na prática, o vendedor não tem limite de ganho. Se ele trabalhar com comissão, seu ganho somente dependerá dele e é aí que a questão tema deste livro se inicia.
O vendedor precisa ter um perfil psicológico, uma mente e um controle emocional muito acima do normal para ter sucesso. Para entender as técnicas que nós explicaremos e os porquês, é preciso que as pessoas estejam dispostas a ampliar a complexidade da própria mente, expandir a própria compreensão de todas essas técnicas. Se nós fossemos repetir o que já foi escrito há milênios, não acrescentaríamos nada.",39 páginas,Português,Linear B Editora; 2º edição (1 abril 2019),Hélio Couto,Negócios e Empreendedorismo,https://m.media-amazon.com/images/I/41Sup7CUTtL.jpg
1,O Modelo Toyota de Excelência em Serviços: A Transformação Lean em Organizações de Serviço,"R$ 80,91","Leitura obrigatória para os profissionais da área de serviço, este livro leva os princípios lean da série best-seller O Modelo Toyota diretamente para as indústrias em que a qualidade do serviço é crucial para o sucesso. Jeff Liker e Karyn Ross mostram como desenvolver os princípios lean em uma organização usando o famoso modelo dos 4Ps. Os casos apresentados são de muitas indústrias diferentes, incluindo saúde, seguros, serviços financeiros e telecomunicações, e comprovam que os princípios e as práticas lean funcionam tão bem em serviços quanto em manufatura.",439 páginas,Português,Bookman; 1ª edição (2 maio 2019),Jeffrey Liker,Negócios e Empreendedorismo,https://m.media-amazon.com/images/I/518FJAEmX3L.jpg
2,"Simplificando os negócios: 60 Dias para Dominar Liderança, Vendas, Marketing, Execução, Gestão, Produtividade pessoal e muito mais","R$ 44,00","Este livro é mais útil do que um Diploma em negócios?

A maioria das pessoas inicia suas carreiras sem entender como fazer uma empresa crescer. Às vezes, isso as faz se sentirem perdidas, ou pior, uma fraude, como se não soubessem o que estão fazendo.",253 páginas,Português,Alta Books; 1ª edição (23 março 2023),Donald Miller,Negócios e Empreendedorismo,https://m.media-amazon.com/images/I/41XNR4nWBtL.jpg
3,Mestres da escala: As grandes ideias que transformaram pequenos negócios em sucessos globais,"R$ 31,41","“Reid Hoffman tem talento para ir direto ao coração de cada caso e transformá-lo em uma lição inesquecível. Quem gosta de histórias bem contadas vai saborear este livro.” – Bob Iger, CEO da The Walt Disney Company
“Para liderar com visão e coração, comece aprendendo com os outros. Hoffman conta ótimas histórias para ensinar lições e traz conselhos sólidos (e às vezes surpreendentes!) para acelerar sua jornada.” – Angela Ahrendts, ex-vice-presidente de varejo da Apple",360 páginas,Português,Editora Sextante (6 fevereiro 2023),Reid Hoffman,Negócios e Empreendedorismo,https://m.media-amazon.com/images/I/51v1ShlC-RL.jpg
4,"A fórmula do lançamento: As estratégias secretas para vender on-line, criar um negócio de sucesso e viver a vida dos seus sonhos","R$ 34,11","A bíblia do marketing digital. Como vender on-line e criar um negócio de sucesso.

Foi isso que Jeff Walker, autor deste livro e criador da Product Launch Formula™, desenvolveu. Ele mudou a vida de milhares de pessoas com esse método, e agora também pode mudar a sua, ajudando-o a criar um negócio que ame e a alcançar a vida de seus sonhos.
A Product Launch Formula™ é um método de lançamento de produtos on-line que abrange as mais diversas áreas de negócios e marketing. Ao seguir os passos indicados neste livro por Jeff, será possível planejar um lançamento de forma eficaz, atraindo o público-alvo para seu produto e ganhando, provavelmente, muito dinheiro.
A fórmula de Jeff Walker já foi comprovada por vários de seus alunos, que lançaram produtos em mercados diversificados, desde o aconselhamento sentimental aos fundos de investimento mútuos, passando por aulas de guitarra. Os lucros arrecadados e os resultados obtidos em praticamente todos os casos guiados pela Product Launch Formula™ são inacreditáveis, mas verdadeiros.
O sucesso bateu à porta de todos os que se utilizaram desse método inovador e eficiente.",298 páginas,Português,Best Business; 1ª edição (10 junho 2019),Jeff Walker,Negócios e Empreendedorismo,https://m.media-amazon.com/images/I/51q33hwz6lL.jpg
5,"Contabilidade Empresarial - Instrumento de Análise, Gerência e Decisão","R$ 199,00","A 18a edição foi atualizada de acordo com as Normas Internacionais de Contabilidade (IFRS) expressadas pelos pronunciamentos do Comitê de Pronunciamentos Contábeis (CPC) e pelas Normas Brasileiras de Contabilidade (NBC). A edição também vem com muitas novidades, incluindo novos exercícios com respostas, vídeos explicativos do conteúdo e acesso gratuito ao Livro de Exercícios.
Esta é uma obra diferenciada, que trabalha além da mecânica de escrituração e da elaboração das demonstrações financeiras: o foco é trazer compreensão dos relatórios contábeis ao leitor.
Com a tecnologia disponível para o processamento contábil, é muito mais interessante que o estudante saiba analisar a natureza, o significado e a finalidade dos dados contábeis. E é essa a principal função deste livro.
Livro-texto para as disciplinas Contabilidade Introdutória e Contabilidade Geral dos cursos de Administração, Ciências Contábeis, Economia e Direito. Por dar mais ênfase à compreensão dos dados e demonstrativos contábeis do que à técnicas de escrituração, destina-se também a profissionais não contadores e a estudantes de outras áreas.

Acompanhe as nossas publicações, cadastre-se e receba as informações por e-mail (Clique aqui!)",544 páginas,Português,Atlas; 18ª edição (18 março 2022),José Carlos Marion,Negócios e Empreendedorismo,https://m.media-amazon.com/images/I/41yvNMDJtcL.jpg
6,A mente do empreendedor,"R$ 17,91","Steve Jobs, Jeff Bezos, Mark Zuckerberg, Bill Gates, Valerie Gaydos e Sara Blakely. O que eles - entre outros tantos empreendedores geniais - têm em comum? Sucesso em seus negócios! A verdade é que milhares de pessoas tentam empreender. Muitos erram. Alguns acertam. Mas pouquíssimos tornam-se empresários incrivelmente bem sucedidos. Kevin D. Johnson acredita que, se os empresários souberem o que se passa dentro da cabeça dos empreendedores mais bem sucedidos do mundo, serão mais precisos nas suas decisões do dia a dia e aumentarão a chance de acertar. Segundo o autor, você precisa mudar seu modo de pensar. Em outras palavras, precisa interiorizar a ""mente do empreendedor"": um jeito de pensar que foca nas lições mais importantes e vitais desses grandes nomes. E é exatamente isso que Kevin D. Johnson oferece neste livro. O autor pesquisou profundamente e encontrou hábitos, crenças e características em comum entre esses grandes nomes.",320 páginas,Português,Astral Cultural (6 março 2019),Kevin D. Johnson,Negócios e Empreendedorismo,https://m.media-amazon.com/images/I/5131ChHkyML.jpg
7,Empreendedorismo - plano de negócios em 40 lições - 2ed,"R$ 47,49","Obra apresenta os principais componentes de um plano de negócio, com orientações específicas, objetivas e práticas para quem está em um empreendimento nascente. Divididos em 40 capítulos, o conteúdo aborda desde a decisão de iniciar um novo negócio e a identificação de oportunidades de alto potencial de crescimento até a avaliação da necessidade de buscar investidores, passando pelo estudo de viabilidade mercadológica, operacional e financeira do negócio. Traz ainda temas atuais que auxiliarão no desenvolvimento de novos empreendimentos, entre eles, Effectuation, Design Thinking, Lean Startup, Business Model Canvas e Bootstrapping, que é a criação de uma empresa utilizando apenas recursos próprios.",360 páginas,Português,Saraiva Uni (9 outubro 2019),Marcos Hashimoto,Negócios e Empreendedorismo,https://m.media-amazon.com/images/I/41wb-0wRBnL.jpg
8,Scaling Up - Escalando seu negócio,"R$ 58,10","Uma Scaleup é uma empresa que já validou seus serviços e produtos no mercado, provando que seu modelo de negócio é sustentável, seu próximo passo é escalar. A Scaleup é o próximo passo de uma startup. A energia e recursos são focados no crescimento sustentável. Faz mais de uma década que o livro mais vendido de Verne Harnish Mastering the Rockefeller Habits foi lançado. Scaling Up é a primeira grande revisão desse clássico de negócios que detalha ferramentas e técnicas práticas para escalar um negócio que domina o setor.Scaling Up concentrase nas quatro principais áreas de decisão que toda empresa deve acertar: Pessoas, Estratégia, Execução e Caixa. O livro inclui uma série de novas ferramentas de uma página, incluindo o Plano Estratégico de Uma Página atualizado e o Rockefeller Habits ChecklistTM, que mais de 40.000 empresas em todo o mundo usaram para escalar suas empresas com sucesso — muitas até US$ 10 milhões, US$ 100 milhões e US$ 1 bilhão e além — enquanto desfruta sua escalada.",253 páginas,Português,Alfacon; 1ª edição (1 fevereiro 2021),Verne Harnish,Negócios e Empreendedorismo,https://m.media-amazon.com/images/I/51xo926k-KL.jpg
9,"Instagram, WhatsApp e Facebook para Negócios: Como ter lucro através dos três principais canais de venda","R$ 49,30","Se quer dominar as vendas online, este livro é para você.
Nele vai aprender a trabalhar de forma correta os três principais canais de vendas do momento: Instagram, WhatsApp e Facebook. Seja através da criação de conteúdo ou de anúncios pagos, este livro irá mostrar-lhe o caminho que precisa de percorrer para ter uma presença online eficaz
Muitos empreendedores acreditam que criar uma conta numa rede social ou ter um site já é o suficiente. Na verdade, esse é apenas o primeiro passo. As vendas e o sucesso da sua empresa acontecem depois de criar as suas contas. O que publicar, quando publicar, que anúncios fazer ou como fazer esses anúncios são apenas alguns dos aspectos que precisa de dominar para ter êxito online. Neste livro você encontra tudo o que precisa de saber para dominar os três principais apps de comunicação do mundo.",346 páginas,Português,DVS Editora; 1ª edição (30 abril 2021),Luciano Larrossa,Negócios e Empreendedorismo,https://m.media-amazon.com/images/I/510kEqtD0-L.jpg
