,titulo,preco,descricao,paginas,idioma,editora,autor,genero
0,Par ou ímpar: Perguntas e respostas para quem quer (ou não) encontrar o amor da sua vida,"R$ 17,91","Existe amor à primeira vista? Será que estou me iludindo? Por que ainda estou solteiro? Estar solteira é o fim do mundo?
Se você já fez alguma dessas perguntas, este livro é para você. Par ou ímpar é para todos aqueles que têm dúvidas sobre relacionamentos, não importa se estão solteiros ou namorando, em busca de um amor ou não. São 100 perguntas reunidas sobre tudo que envolve o universo amoroso, incluindo temas como bagagem emocional, escolhas, sexualidade e espiritualidade.
Com a vasta experiência adquirida como consultor de relacionamentos e líder de jovens, o pastor Antônio Júnior responde a tudo que você sempre quis saber sobre namoro e ajuda o leitor a acalmar o coração e confiar em Deus.",280 páginas,Português,Thomas Nelson Brasil; 2º edição (25 abril 2017),Antônio Júnior,Romance
1,A troca,"R$ 17,96","Autora do best-seller Teto para dois volta com um novo livro divertido e comovente sobre recomeços
Leena Cotton tem 29 anos e sente que já não é mais a mesma. Eileen Cotton tem 79 e está em busca de um novo amor. Tudo de que neta e avó precisam no momento é pôr em prática uma mudança radical. Então, para colocar suas respectivas vidas de volta nos trilhos, as duas têm uma ideia inusitada: trocar de lugar uma com a outra.",412 páginas,Português,Intrínseca (6 novembro 2020),Beth O’Leary,Romance
2,Teto para dois (Livro que deu origem à série da Paramount),"R$ 35,91","Best-seller de Beth O’Leary ganha
série na Paramount+ e tem estreia aguardada para as próximas semanas no Brasil
Depois
de três meses do fim do seu relacionamento, Tiffy finalmente sai do apartamento
do ex-namorado. Agora ela precisa encontrar o quanto antes um lugar barato onde
morar. Contrariando os amigos, ela topa um acordo bastante inusitado.",437 páginas,Português,Intrínseca (9 setembro 2019),Beth O’Leary,Romance
3,Luzes do Norte,"R$ 33,24","Luzes do Norte é o livro de estreia de Giulianna Domingues, uma aventura intensa e cheia de reviravoltas, com uma protagonista que se recusa a jogar pelas regras dos outros. Entre ursos assustadores, florestas nevadas, mistérios e intrigas, Dimitria tem uma única missão: proteger Aurora van Vintermer. Custe o que custar.
 Dimitria Coromandel é uma caçadora excepcional, a melhor da região, e, após a morte dos seus pais, se tornou a base para o sustento de sua pequena família. Para ela, o peso da responsabilidade e a necessidade de conseguir dinheiro são os impulsos de sua movimentada rotina, e, no inclemente inverno de Nurensalem, ela precisa caçar durante o dia se quiser trazer comida para a casa à noite. No entanto, quando fisga a atenção de Bóris van Vintermer, patriarca da família mais rica do local, sua realidade começa aos poucos a se transformar.",335 páginas,,Galera; 1ª edição (28 março 2022),Giu Domingues,Romance
4,A Garota do Laço Vermelho,"R$ 10,00","Camila e Lauren se apaixonaram através da música. Antes mesmo de se conhecerem e trocarem as primeiras palavras já sabiam que era amor. Mas amor é suficiente para um relacionamento dar certo? Quando a vida sai do ritmo e exige força, coragem e luta, é preciso estar pronto para se jogar nesse precipício que é amar através do tempo.",877 páginas,Português,Português,Isabella Pereira,Romance
5,Corte de névoa e fúria - Corte de espinhos e rosas - vol. 2,"R$ 37,03","O aguardado segundo volume da saga iniciada em Corte de espinhos e rosas, da mesma autora da série Trono de vidro. Nessa continuação, Feyre, a jovem humana que morreu nas garras de Amarantha, assume seu lugar como Quebradora da Maldição e dona dos poderes de sete Grão-Feéricos. Seu coração, no entanto, permanece humano, incapaz de esquecer o que sofreu para libertar o povo de Tamlin e o pacto firmado com Rhys, senhor da Corte Noturna. Mas, mesmo assim, ela se esforça para reconstruir o lar que criou na Corte Primaveril. Então por que é ao lado de Rhys que se sente mais plena? Peça-chave num",807 páginas,Português,Galera; 1ª edição (1 setembro 2016),Sarah J. Maas,Romance
6,O peso da glória (Clássicos C. S. Lewis),"R$ 22,41"," Nos nove sermões que compõem uma de suas obras mais clássicas,   O peso da glória  , C.S. Lewis demonstra porque é um dos autores cristãos mais influentes da História. Ele é capaz de tratar os mais variados temas, como pecado e identidade cristã de modo brilhante, trazendo simplicidade e clareza a assuntos complexos, instigando tanto nossa alma quanto nosso intelecto.    
 Mais um livro da coleção C.S. Lewis, com edição especial e nova tradução  ,   O peso da glória   é uma leitura obrigatória, pois traz aos leitores contemporâneos as mesmas palavras de inspiração, orientação e apologia da fé cristã que levaram alento a milhares de ouvintes em um tempo recheado de dúvidas.   ",163 páginas,Português,Thomas Nelson Brasil; 2º edição (18 setembro 2017),C. S. Lewis,Romance
7,O labirinto de fogo (As provações de Apolo Livro 3),"R$ 23,09","No terceiro livro da série, o deus Apolo vai ser posto à prova ao enfrentar uma perigosa armadilha.
Apolo, o deus mais glorioso e belo que já existiu, causou a ira de Zeus e foi expulso do Olimpo. Ele foi parar na terra, mais precisamente em uma caçamba de lixo em Nova York. Agora, ele é Lester Papadopoulos, um mortal desajeitado e sem poderes divinos. Para reconquistar seu lugar ao lado do todo-poderoso, Apolo terá que libertar cinco oráculos desaparecidos.",477 páginas,,Intrínseca (3 maio 2018),Rick Riordan,Romance
8,Dom Casmurro - Edição Exclusiva Amazon,"R$ 14,90","Prometido para o seminário desde o nascimento, o jovem carioca Bentinho precisa encontrar um jeito de fugir da vida na Igreja e realizar seu verdadeiro sonho: casar-se com a vizinha Capitu. Uma história de paixão, obsessão e ciúme se desenrola, em uma narrativa cheia de reviravoltas, que aos poucos constrói um retrato da sociedade brasileira.
Com este romance publicado em 1899, o maior nome da literatura nacional, Machado de Assis, torna-se também parte do cânone mundial. ""Dom Casmurro"" traz contundentes reflexões sobre o Brasil de sua época, ainda muito relevantes para os dias atuais, e faz isso com a narrativa repleta de ironia que é uma marca do autor.",462 páginas,Português,Antofágica; 1ª edição (12 novembro 2020),Machado De Assis,Romance
9,A hipótese do amor: Sucesso do TikTok,"R$ 29,61","Quando um namoro de mentira entre cientistas encontra a irresistível força da atração, todas as teorias cuidadosamente calculadas sobre o amor são postas à prova.
Com personagens cativantes e diálogos afiados, este livro engraçado, sexy e inteligente se tornou uma das grandes sensações do TikTok.
Olive Smith, aluna do doutorado em Biologia da Universidade Stanford, acredita na ciência – não em algo incontrolável como o amor.",453 páginas,Português,Editora Arqueiro (26 junho 2022),Ali Hazelwood,Romance
