,titulo,descricao,paginas,idioma,editora,autor,genero,imgLink,isbn13,isbn10,amazonLink
0,"Cabeça Fria, Coração Quente: Uma viagem pelos bastidores da equipa técnica: segredos, reflexões e métodos de trabalho revelados em primeira pessoa","Escrito em primeira pessoa pela equipa técnica liderada pelo treinador Abel Ferreira, o livro “Cabeça fria, coração quente” faz uma viagem pelos bastidores das conquistas do Palmeiras nas temporadas de 2020 e 2021, culminando no bicampeonato da Copa Libertadores da América.
A obra traz as experiências e os desafios enfrentados pelos profissionais portugueses ao longo de seus 13 primeiros meses no futebol brasileiro, com revelações inéditas sobre o pensamento, a filosofia e os métodos de trabalho da comissão – incluindo detalhes inéditos da preparação de 16 jogos-chave, com exercícios e as respectivas análises pré e pós-jogo.",408 páginas,Português,Garoa Livros; 1ª edição (30 agosto 2022),Abel Ferreira,Biografia,https://m.media-amazon.com/images/I/81BZ7-zIeCL._SY385_.jpg,978-6599096389,6599096387,https://www.amazon.com.br/Cora%C3%A7%C3%A3o-Martinho-Martins-Castanheira-Ferreira/dp/6599096387/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=1-4
1,Quem tem medo do feminismo negro?,"""Um livro essencial e urgente, pois enquanto mulheres negras seguirem sendo alvo de constantes ataques, a humanidade toda corre perigo.
Quem tem medo do feminismo negro? reúne um longo ensaio autobiográfico inédito e uma seleção de artigos publicados por Djamila Ribeiro no blog da revista Carta Capital , entre 2014 e 2017. No texto de abertura, a filósofa e militante recupera memórias de seus anos de infância e adolescência para discutir o que chama de “silenciamento”, processo de apagamento da personalidade por que passou e que é um dos muitos resultados perniciosos da discriminação. Foi apenas no final da adolescência, ao trabalhar na Casa de Cultura da Mulher Negra, que Djamila entrou em contato com autoras que a fizeram ter orgulho de suas raízes e não mais querer se manter invisível. Desde então, o diálogo com autoras como Chimamanda Ngozi Adichie, bell hooks, Sueli Carneiro, Alice Walker, Toni Morrison e Conceição Evaristo é uma constante.",120 páginas,Português,Companhia das Letras; 1ª edição (8 junho 2018),Djamila Ribeiro,Biografia,https://m.media-amazon.com/images/I/71+ltYY+D3L._SY385_.jpg,978-8535931136,8535931139,https://www.amazon.com.br/Quem-tem-medo-feminismo-negro/dp/8535931139/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=1-3
2,O rei dos dividendos: A saga do filho de imigrantes pobres que se tornou o maior investidor pessoa física da bolsa de valores brasileira,"""O livro que você tem em mãos é uma inspiração para a riqueza, mas não só: ao compartilhar momentos de humor e astúcia, dor e alegria, Barsi vai se mostrando, pouco a pouco, como realmente é, em toda a sua humanidade.
E é isso o que faz desta obra também uma inspiração para nos tornamos, mais do que investidores competentes, pessoas melhores."" – Fabio Baroni, Felipe Ruiz e Louise Barsi, sócios fundadores do AGF",256 páginas,Português,Editora Sextante; 1ª edição (10 novembro 2022),Luiz Barsi Filho,Biografia,https://m.media-amazon.com/images/I/81s4sDCKBoL._SY385_.jpg,978-6555644746,6555644745,https://www.amazon.com.br/rei-dos-dividendos-imigrantes-investidor/dp/6555644745/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=
3,Minha História,"Um relato íntimo, poderoso e inspirador da ex-primeira-dama dos Estados Unidos.
Com uma vida repleta de realizações significativas, Michelle Obama se consolidou como uma das mulheres mais icônicas e cativantes de nosso tempo. Como primeira-dama dos Estados Unidos — a primeira afro-americana a ocupar essa posição —, ela ajudou a criar a mais acolhedora e inclusiva Casa Branca da história. Ao mesmo tempo, se posicionou como uma poderosa porta-voz das mulheres e meninas nos Estados Unidos e ao redor do mundo, mudando drasticamente a forma como as famílias levam suas vidas em busca de um modelo mais saudável e ativo, e se posicionando ao lado de seu marido durante os anos em que Obama presidiu os Estados Unidos em alguns dos momentos mais angustiantes da história do país. Ao longo do caminho, ela nos ensinou alguns passos de dança, arrasou no Carpool Karaoke e criou duas filhas responsáveis e centradas, apesar do impiedoso olhar da mídia.",464 páginas,Português,Objetiva; 1ª edição (13 novembro 2018),Michelle Obama,Biografia,https://m.media-amazon.com/images/I/81Ed9yMQWIL._SY385_.jpg,978-8547000646,854700064X,https://www.amazon.com.br/Minha-Hist%C3%B3ria-Michelle-Obama/dp/854700064X/ref=monarch_sidesheet
4,Silvio Santos: A biografia,"Seu nome é Senor Abravanel, mais conhecido como Silvio Santos. Sua característica mais marcante é a generosidade, eternizada no famoso bordão 'quem quer dinheiro?'. A boa índole de Silvio Santos, inclusive, é uma faceta de sua personalidade, a qual dez em cada dez de seus funcionários faz questão de ressaltar.
Compreendendo os 86 anos da figura icônica que impactou a história e a rotina de milhões de brasileiros, este livro revela, inclusive por meio de relatos e documentos exclusivos, as conquistas e dificuldades que Silvio enfrentou para ser a unanimidade que é hoje: o lado família, o apresentador, o gestor de negócios, o descobridor de talentos, como se deram seus insights de empreendedor, além de inúmeras passagens impressionantes de uma trajetória riquíssima e encorajadora.",280 páginas,Português,Universo dos Livros; 1ª edição (31 janeiro 2020),Marcia Batista,Biografia,https://m.media-amazon.com/images/I/81Z4e1mvuaL._SY385_.jpg,978-8550302478,8550302473,https://www.amazon.com.br/Silvio-Santos-Biografia-Marcia-Batista/dp/8550302473/ref=sr_1_5?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=biografia&s=books&sr=1-5
5,O que sobra,"Esta foi uma das imagens mais tocantes do século XX: dois jovens, dois príncipes, caminhando atrás do caixão da mãe, enquanto o mundo acompanhava os eventos com tristeza ― e horror. Conforme Diana, a Princesa de Gales, era sepultada, bilhões de pessoas se perguntavam como se sentiam, e o que pensavam, os príncipes ― e como a vida deles iria se desenrolar a partir daquele momento.
Para Harry, esta é enfim a sua história.
Com uma honestidade total e incontornável, O que sobra é um marco editorial, cheio de inspiração, revelações, introspecção e sabedoria, conquistada com muito esforço, no que diz respeito ao eterno poder do amor sobre a perda.",512 páginas,Português,Objetiva; 1ª edição (10 janeiro 2023),Príncipe Harry,Biografia,https://m.media-amazon.com/images/I/81irCf3PXrL._SY385_.jpg,978-8539007479,8539007479,https://www.amazon.com.br/que-sobra-Pr%C3%ADncipe-Harry/dp/8539007479/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=
6,Em busca de mim,"A internacionalmente aclamada atriz Viola Davis narra em sua biografia, Em busca de mim, tudo o que viveu desde a infância difícil até o estrelato. Nesta biografia você vai conhecer uma garotinha chamada Viola, que fugia de seu passado até tomar a transformadora decisão de parar de fugir para sempre.
 Em busca de mim conta a minha história, de um apartamento caindo aos pedaços na cidade de Central Falls, em Rhode Island, para os palcos de Nova York e além. Este é o caminho que percorri em busca de propósito e força, mas também para me fazer ser ouvida em um mundo que não me percebia.",266 páginas,Português,BestSeller; 6ª edição (25 julho 2022),Viola Davis,Biografia,https://m.media-amazon.com/images/I/91J7EVQy1jL._SY385_.jpg,978-6557121382,6557121383,https://www.amazon.com.br/Em-busca-mim-Viola-Davis/dp/6557121383/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=
7,Tesla: A vida e a loucura do gênio que iluminou o mundo,"A biografia do cientista mais aclamado e polêmico da história

Nikola Tesla é um ícone da cultura pop e geek, estampando pôsteres e camisetas. Porém, muito mais do que uma imagem icônica, o cientista é considerado o “avô” da informática e dá nome à mais valiosa e controversa corporação global. Suas invenções e descobertas domaram a “misteriosa” eletricidade e suas descobertas impactam nossas vidas até hoje. No entanto, Tesla passou a vida lutando contra um vasto rol de patologias mentais, entre elas o transtorno obsessivo-compulsivo e a bipolaridade.

Em",464 páginas,Português,Globo Livros; 1ª edição (27 fevereiro 2023),Marko Perko,Biografia,https://m.media-amazon.com/images/I/71h3KzsvsDL._SY385_.jpg,978-6559870844,6559870847,https://www.amazon.com.br/Tesla-loucura-g%C3%AAnio-iluminou-mundo/dp/6559870847/ref=sr_1_4?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=biografias&s=books&sr=1-4
8,Todo dia a mesma noite (série da Netflix): A História Não Contada da Boate Kiss,"Reportagem definitiva sobre o incêndio na Boate Kiss inspirou série da Netflix
Ao reconstituir de maneira sensível e inédita os acontecimentos da madrugada de 27 de janeiro de 2013, quando a cidade de Santa Maria perdeu de uma só vez 242 vidas, Daniela Arbex constrói uma obra que homenageia as vítimas e dá voz aos envolvidos em um dos episódios mais estarrecedores da história do país. Agora, dez anos após a tragédia, o livro dá origem a uma minissérie produzida pela Netflix e dirigida por Julia Rezende, com estreia marcada para o dia 25 de janeiro. No elenco, há nomes como Thelmo Fernandes",248 páginas,Português,Intrínseca; 1ª edição (19 janeiro 2018),Daniela Arbex,Biografia,https://m.media-amazon.com/images/I/614SKmvmn5L._SY385_.jpg,978-8551002858,8551002856,https://www.amazon.com.br/Todo-Mesma-Noite-Daniela-Arbex/dp/8551002856/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=
9,O diário de Anne Frank,"O Diário de Anne Frank teve a autenticidade confirmada por peritos. Estudos forenses da caligrafia de Anne e exame do papel do diário, da tinta e da cola comprovaram ser de material existente na época. A conclusão foi oficialmente apresentada pelo Instituto Estatal Holandês para Documentação da Guerra.",224 páginas,Português,Principis; 6ª edição (8 janeiro 2020),Anne Frank,Biografia,https://m.media-amazon.com/images/I/514tKci6HIL._SY385_.jpg,978-6550970406,6550970407,https://www.amazon.com.br/di%C3%A1rio-Anne-Frank/dp/6550970407/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=
10,Steve Jobs,"Biografia do brilhante e controverso cofundador da Apple, pelo badalado autor de Leonardo da Vinci, é relançada em nova ediçãoBaseando-se em mais de quarenta entrevistas realizadas com Steve Jobs ao longo de dois anos ― e em várias outras feitas com mais de cem familiares, amigos, adversários, concorrentes e colegas de trabalho ―, Walter Isaacson apresenta nesta biografia a fascinante trajetória de um ícone. Intenso, de personalidade forte e apaixonado por perfeição, Jobs viveu altos e baixos e revolucionou seis indústrias: a de computadores pessoais, a de filmes de animação, a da música, a da telefonia celular, a da computação em tablet e a da publicação digital. Não à toa, cerca de dez anos após sua morte ele continua sendo o representante máximo da inventividade e da imaginação aplicada. Embora tenha cooperado com o autor de sua biografia, Jobs não tentou controlar o conteúdo destas páginas ― deu apenas alguns pitacos na capa, segundo Isaacson. Não houve assunto proibido. O empresário, inclusive, incentivou aqueles que conhecia a falarem sobre ele com sinceridade. E ele, por sua vez, foi franco, muitas vezes brutal, ao mencionar as pessoas com quem trabalhou e os concorrentes. Assim, seus amigos, colegas e inimigos oferecem uma visão nua e crua das paixões, do perfeccionismo, das obsessões, do talento artístico, das crueldades e da compulsão por controle que moldaram o jeito de Jobs de fazer negócios e os produtos inovadores que criou. A história de vida de Steve Jobs, como nos mostra este livro que o revela em essência, ensina diversas lições sobre inovação, caráter, prudência, liderança e valores.",656 páginas,Português,Intrínseca; 1ª edição (2 dezembro 2022),Walter Isaacson,Biografia,https://m.media-amazon.com/images/I/51rVYANstPL._SY385_.jpg,978-6555603323,6555603321,https://www.amazon.com.br/Steve-Jobs-Walter-Isaacson/dp/6555603321/ref=sr_1_2?keywords=steve+jobs&sr=8-2
11,Ayrton Senna: Uma Lenda a Toda Velocidade: Uma Jornada Interativa,"""Ayrton Senna – Uma lenda a toda velocidade"" contém 13 luxuosos envelopes com réplicas de cartas escritas à mão, de agendas de corridas, de adesivos de escuderia autografados, entre outros itens especiais. Nesta obra encontramos o Ayrton Senna que sempre será lembrado como lenda do automobilismo e grande ser humano, que sonhou criar oportunidades para crianças e jovens brasileiros. Assim nasceu o Instituto Ayrton Senna. Assim nasceu esta obra.",194 páginas,Português,Global Editora; Português edição (31 julho 2009),Christopher Hilton,Biografia,https://m.media-amazon.com/images/I/71b-XOvFhuL._SY385_.jpg,978-8526013711,8526013718,https://www.amazon.com.br/Ayrton-Senna-Lenda-Toda-Velocidade/dp/8526013718/ref=sr_1_1?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=senna&sr=8-1&ufe=app_do%3Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181dhttps://www.amazon.com.br/Eu-sou-Malala-hist%C3%B3ria-defendeu/dp/8535923438/ref=sr_1_3?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=malala&sr=8-3
12,Einstein: Biografia de um gênio imperfeito,"Um mergulho irresistível no lado mais humano de Einstein Acessível e absorvente, esta não é apenas mais uma biografia do maior gênio da era moderna. Escrita pelo premiado autor David Bodanis, retrata o cientista revolucionário para revelar um Albert Einstein profundamente humano em sua genialidade e em seus defeitos e imperfeições - entre eles a teimosia orgulhosa que o deixou isolado e à margem da comunidade científica nas ultimas décadas de vida. A chegada de um gênio ao ápice, seu declínio, o modo como lidou com o fracasso e a perda da confiança - esse é o mapa percorrido por Bodanis nessa reconstrução minuciosa e afetiva, mas também crítica, da vida de Einstein. Com uma narrativa cativante, o livro oferece ainda explicações científicas ao alcance do leitor não especializado - que ficará surpreso ao descobrir que é possível entender a teoria da relatividade geral. ""Arrebatador!"" Forbes ""Ninguém torna a ciência complexa mais fascinante e acessível que David Bodanis."" Bill Bryson ""Sensível e perspicaz, mostra o modo como um gênio pode perder a majestade dentro da comunidade científica."" SundayTimes ""Um grande prazer. Bodanis dá voz às mulheres na vida de Einstein, não faz julgamentos sobre o biografado e oferece um livro absolutamente envolvente e revelador."" ShelfAwareness ""Uma biografia que admira seu personagem, mas não se furta a criticá-lo, mostrando o grande gênio tomado pelo pensamento inflexível em seus últimos anos."" The Observer ""Habilidade extraordinária para explicar as questões mais complicadas ... Teorias do universo se transformam em teorias da vida."" The Times",288 páginas,Português,Zahar; 1ª edição (18 maio 2017),David Bodanis,Biografia,https://m.media-amazon.com/images/I/91CgHMH9jqL._SY385_.jpg,978-8537816653,8537816655,https://www.amazon.com.br/Einstein-Biografia-um-g%C3%AAnio-imperfeito/dp/8537816655/ref=sr_1_1?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=einstein&sr=8-1
13,Frida: A biografia,"Todo mundo conhece Frida Kahlo, cuja imagem, de olhar complexo sob sobrancelhas espessas, cabelos negros e roupas coloridas, é quase tão difundida quanto a de Che Guevara. Todo mundo sabe que sofreu um gravíssimo acidente na juventude, que foi casada com o grande muralista Diego Rivera, e que foi amante de Leon Trotsky. Todo mundo sabe que tinha ideias radicais em política e hábitos modernos na vida, que pintava de modo radicalmente pessoal, e que teve uma existência tão tumultuada quanto o século XX em que viveu. O que poucos sabem é que tudo o que quase todo mundo sabe sobre Frida Kahlo está longe de resumir sua vida, ou de revelar a mulher por trás do ícone da arte latino-americana moderna. Finalmente traduzida para o português, Frida – a biografia foi um dos grandes impulsionadores do revival da artista nos Estados Unidos e em todo o mundo a partir de 1983. Como sintetizou a crítica, “Por meio de sua arte, Kahlo fez de si mesma uma artista e um ícone; por meio desta biografia, ganhou também dimensão humana”. Escrito por Hayden Herrera, reconhecida historiadora da arte, o livro traz, além da intimidade da história de Frida, detalhadas descrições e interpretações dos quadros de Kahlo, escritas com o rigor e a acuidade de uma especialista, mas também com a clareza, a fluidez e a sedução de uma amante dessa arte.",624 páginas,Português,Biblioteca Azul; 1ª edição (1 outubro 2011),Hayden Herrera,Biografia,https://m.media-amazon.com/images/I/61d4is+1wsL._SY385_.jpg,978-8525049506,8525049506,https://www.amazon.com.br/Frida-biografia-Hayden-Herrera/dp/8525049506/ref=sr_1_1?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=frida&sr=8-1
14,Churchill: Caminhando com o destino,"Baseada em extenso material inédito, a biografia definitiva do político que marcou o século XX.
Nesta biografia monumental, Andrew Roberts destrincha Winston Churchill por completo ― do nascimento ao legado duradouro como um dos maiores líderes de nossos tempos.
Ao longo de sua pesquisa, o premiado historiador consultou dezenas de documentos inéditos e, pela primeira vez, a Família Real permitiu que um biógrafo do estadista tivesse acesso aos diários em que o rei George VI registrava suas reuniões semanais com o primeiro-ministro durante a Segunda Guerra Mundial.
Da capacidade titânica de trabalhar (e beber) à extraordinária propensão a chorar em momentos inesperados; do desejo fervoroso de agradar ao pai à disposição de correr riscos; do bom humor a despeito das circunstâncias adversas à percepção singular que tinha da história, o leitor conhecerá tudo que fez de Churchill não somente um dos grandes políticos e oradores do século XX, mas um exemplo atemporal de coragem e liderança.",1200 páginas,Português,Companhia das Letras; 1ª edição (4 agosto 2020),Andrew Roberts,Biografia,https://m.media-amazon.com/images/I/61FbprhoxCL._SY385_.jpg,978-8535933239,8535933239,https://www.amazon.com.br/Churchill-Caminhando-destino-Andrew-Roberts/dp/8535933239/ref=sr_1_2?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=Winston+Churchill&sr=8-2
15,Mao,"Mao - A história desconhecida é a mais sólida biografia de Mao Tse-tung já escrita, fruto de uma década de pesquisa em arquivos do mundo todo e centenas de entrevistas com amigos, colaboradores e conhecidos de Mao - boa parte dos quais nunca havia se pronunciado. O resultado do árduo trabalho de Jung Chang e de seu marido Jon Halliday é a demolição de diversos mitos. O livro ataca o heroísmo da Longa Marcha, discorre sobre a ajuda financeira e militar da União Soviética de Stálin para a criação e o fortalecimento do Partido Comunista chinês e desqualifica os relatos de que os rebeldes comunistas teriam enfrentado os japoneses na Segunda Guerra Mundial. Os autores mostram como Mao concentrou-se em expandir seu domínio durante quase três décadas, ainda que isso resultasse no sofrimento e na morte de dezenas de milhões de cidadãos. Para se perpetuar no poder, instituiu um clima de denúncias, perseguições e terror. Na intimidade, ele é descrito como um pai omisso, marido infiel e amigo pouco confiável. Mao foi um dos lançamentos mais esperados no mundo todo e causou grande impacto quando foi publicado, no Reino Unido, em 2005. “Poucos livros estão destinados a mudar a história, mas este mudará.” - George Walden, Daily Mail “Uma bomba atômica.” - Time “Esta biografia grandiosa demole sistematicamente cada pilar da simpatia e da legitimidade que Mao possuía.” - The New York Times Book Review “Um êxito. Um retrato hipnotizante da tirania, da degeneração, do assassinato em massa e da promiscuidade, um bombardeio de revelações revisionistas e um trabalho de pesquisa sensacional.” - Simon Sebag Montefiore, autor de Stálin",816 páginas,Português,Edição Econômica; Edição econômica (10 agosto 2012),Jung Chang,Biografia,https://m.media-amazon.com/images/I/81QgDSDxCkL._SY385_.jpg,978-8535921472,8535921478,https://www.amazon.com.br/Mao-Jung-Chang/dp/8535921478/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=8-1
16,Autobiografia: Minha vida e minhas experiências com a verdade,"O objetivo deste projeto editorial é apresentar ao público brasileiro, pela primeira vez em tradução direta do inglês, uma parte importante da extensa obra escrita de Mohandas K. Gandhi, o célebre pensador, político e educador indiano. A saga gandhiana é um exemplo luminoso de como a resistência à opressão deve começar pelo trabalho com o ego e estender-se à coletividade. Conceitos como a não violência, caros ao autor, são detalhadamente apresentados e fundamentados. A obra não deixa de atender assim a uma necessidade básica, em especial quando se considera que o colonialismo – para cuja abolição Gandhi tanto se empenhou – ressurge hoje sob novas formas e em escala planetária.",440 páginas,Português,Palas Athena; 11ª edição (1 abril 2021),Mohandas K. Gandhi,Biografia,https://m.media-amazon.com/images/I/81zXYEA3PWL._SY385_.jpg,978-8560804481,856080448X,https://www.amazon.com.br/Autobiografia-Do-Gandhi-Experi%C3%AAncias-Verdade/dp/856080448X/ref=sr_1_1?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=Gandhi%3A+Uma+Biografia&sr=8-1
