,titulo,descricao,paginas,idioma,editora,autor,genero,imgLink,isbn13,isbn10,amazonLink
0,"Pai rico, pai pobre - edição de 20 anos atualizada e ampliada: o que os ricos ensinam a seus filhos sobre dinheiro","Celebrando 20 anos com o livro n° 1 em finanças pessoais.
A escola prepara as crianças para o mundo real?  Essa é a primeira pergunta com a qual o leitor se depara neste livro.  O recado é ousado e direto: boa formação e notas altas não bastam para assegurar o sucesso de alguém. O mundo mudou; a maioria dos jovens tem cartão de crédito, antes mesmo de concluir os estudos, e nunca teve aula sobre dinheiro, investimentos, juros etc. Ou seja, eles vão para a escola, mas continuam financeiramente improficientes, despreparados para enfrentar um mundo que valoriza mais as despesas do que a poupança.",336 páginas,Português,Alta Books; Edição atualizada e ampliada (5 setembro 2018),Robert T. Kiyosaki,Economia,https://m.media-amazon.com/images/I/81ALgAW3gHL._SY385_.jpg,978-8550801483,8550801488,https://www.amazon.com.br/Pai-rico-pai-pobre-anos/dp/8550801488/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=1-1
1,Economia Para Leigos - Tradução da 3ª edição: Tradução da 3ª edição,"Este livro traz tudo que você precisa saber para entender nossa economia em rápida evolução ― bem como todos os fundamentos econômicos que nunca mudam. Qual a melhor maneira de combater a pobreza? Como os governos podem estimular o emprego e o aumento dos salários? O que fazer para proteger espécies ameaçadas e o ambiente? Este livro oferece as respostas a todas essas perguntas - e muitas outras - em linguagem simples. Contém no livro: - Conheça a economia comportamental- Saiba tudo sobre mercado, monopólios e inflação- Desvende deficits orçamentários e ganhos com o comércioAbra este livro e descubra...- A fascinante economia comportamental- O modelo de oferta e demanda- Como os governos usam as políticas fiscal e monetária para combater recessões- A teoria dos jogos e os segredos da cooperação",432 páginas,Português,Alta Books; 3ª edição (10 outubro 2019),Sean Masaki Flynn,Economia,https://m.media-amazon.com/images/I/81zZRWoNX9L._SY385_.jpg,978-8550811055,855081105X,https://www.amazon.com.br/Economia-Para-Leigos-Sean-Flynn/dp/855081105X/ref=sr_1_14?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=economia&sr=8-14
2,Riquezas certas para você (Portuguese),"O que dinheiro significa para você?
Você decidiu que o dinheiro é mais valioso que você?
""Dinheiro nunca é o problema em nossa vida"", diz Gary Douglas."" É sobre o que estamos dispostos a receber. E o que estamos dispostos a receber é apenas uma escolha"". O que você está escolhendo receber? Você está escolhendo ter dinheiro em sua vida? E se gerar dinheiro e ter dinheiro fosse divertido e alegre? E se ao ter diversão e alegria com dinheiro você pudesse receber mais? Como seria isso?",130 páginas,Português,Access Consciousness Publishing Company (13 janeiro 2021),Gary M Douglas,Economia,https://m.media-amazon.com/images/I/61aOM3MHgsL._SY385_.jpg,978-1634933872,1634933877,https://www.amazon.com.br/Riquezas-certas-para-voc%C3%AA-Portuguese/dp/1634933877/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=1-8%2Chttps://www.amazon.com.br/Tudo-precisa-saber-sobre-economia/dp/8545201699/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=1-3
3,Como Pensar a Economia de Forma Simples,"""Como Pensar a Economia de Forma Simples"" é definitivamente o livro que irá explicar os principais conceitos econômicos e desmistificar as mais recorrentes dúvidas e críticas sobre as ciências econômicas, sem se apegar a chavões acadêmicos e terminologias eruditas. Per Bylund conseguiu alcançar o raro limiar entre o acessível e a profundidade para entregar um livro que, de forma competente e abrangente, explica desde as bases filosóficas da economia até a estrutura dos tão assustadores ciclos econômicos. Com uma linguagem simples, o autor passa pelas escolas de ideias, autores e obras fundamentais, além de revisitar os pilares esquecidos dessa ainda negligenciada ciência. Um livro de economia para leigos e entusiastas, estudantes e curiosos, ou seja, para todos.",198 páginas,Português,LVM Editora; 1ª edição (21 novembro 2022),Per Bylund,Economia,https://m.media-amazon.com/images/I/61VCY3vtg-L._SY385_.jpg,978-6550520502,6550520509,https://www.amazon.com.br/Como-Pensar-Economia-Forma-Simples/dp/6550520509/ref=sr_1_15?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=economia&sr=8-15
4,"Ricos, sábios e felizes: Os princípios de Charlie Munger, Howard Marks, John Bogle e outros grandes investidores para ser bem-sucedido nos negócios e na vida","“Se você deseja alcançar a liberdade financeira ao mesmo tempo que leva uma vida rica em propósito e realização, leia este livro e leve a sério suas inestimáveis lições.” ― Tony Robbins, autor de Poder sem limites
“Cativante… oferece ideias pragmáticas para pensar, refletir e viver. ― Daniel Goleman, autor de Inteligência Emocional
“Se eu tivesse lido Ricos, sábios e felizes quando comecei a investir, teria poupado vinte anos de leituras e estudos.” ―",320 páginas,Português,Editora Sextante; 1ª edição (17 agosto 2021),William Green,Economia,https://m.media-amazon.com/images/I/71WBtVNBCYL._SY385_.jpg,978-6555641912,6555641916,https://www.amazon.com.br/Ricos-s%C3%A1bios-felizes-investidores-bem-sucedido/dp/6555641916/ref=monarch_sidesheet
5,Economia no cotidiano: Decifra-me ou te devoro,"“Trato da inflação, da atividade econômica/emprego, das contas públicas, da relação do país com o exterior e, por fim, do mercado financeiro. São textos curtos, a linguagem não é nada técnica, e o objetivo é que o leitor, ao final de cada capítulo, possa se sentir à vontade para compreender de que forma a economia afeta seu dia a dia, e não como uma conversa esotérica de especialistas para especialistas.” Alexandre Schwartsman
A Coleção Cotidiano busca explicar temas complexos do nosso dia a dia de maneira dinâmica, sem perder a profundidade e relevância. Cada livro é escrito por especialistas em suas temáticas e conta com um moderno projeto gráfico.",128 páginas,Português,Contexto; 1ª edição (30 maio 2020),Alexandre Schwartsman,Economia,https://m.media-amazon.com/images/I/714kyglrznL._SY385_.jpg,978-6555410273,6555410272,https://www.amazon.com.br/Economia-cotidiano-Decifra-me-Alexandre-Schwartsman/dp/6555410272/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=1-6
6,Últimos Escritos Econômicos,"Com o intuito de publicar todas as obras de Karl Marx, a Boitempo lança mais um título da coleção Marx-Engels. ""Últimos escritos econômicos"" traz dois textos da fase madura do autor em novas traduções para o português. O primeiro deles, Glosas marginais ao “Tratado de economia política” de Adolph Wagner, faz parte das anotações ao livro de Adolph Wagner intitulado Doutrina geral ou teórica de economia nacional – Primeira parte: Fundamento. Nesse artigo, Marx critica a deturpação, por Wagner, da teoria do valor desenvolvida em O capital e ilumina diretamente polêmicas e questões ainda em disputa nas diversas interpretações e leituras feitas por autores até os dias de hoje. Marx assenta mais uma vez as teses fundamentais da sua doutrina econômica, dissertando sobre a diferença entre sua teoria e a de David Ricardo e sobre seu modo específico de exposição de formas, conceitos e categorias da crítica à economia política. A publicação inclui ainda um manuscrito sobre a Rússia escrito entre 1881 e 1882 (""Notas sobre a reforma de 1861 e o que daí se desdobrou na Rússia""), texto que mostra o filósofo alemão “em ação”, pesquisando uma questão que o interessava à época e que exigiu reelaborações de argumentos de O capital. ""Últimos escritos econômicos"" fornece uma contextualização histórica e teórica que permite uma leitura crítica da teoria econômica marxiana. Ao longo da obra, notas de rodapé recuperam tanto as notas das duas edições alemãs utilizadas na tradução como as da edição inglesa e trazem informações importantes a respeito das nuances presentes na escrita. O livro conta com um glossário comentado e uma apresentação que localiza o texto de Marx no seu próprio espaço histórico e teórico, nos debates marxistas acerca da teoria do valor que se desenvolveram ao longo do século XX e nos embates atuais que põem em questão a atualidade dessa teoria.",152 páginas,Português,Boitempo Editorial; 1ª edição (4 fevereiro 2020),Karl Marx,Economia,https://m.media-amazon.com/images/I/81fNGL238dL._SY385_.jpg,978-8575597460,8575597469,https://www.amazon.com.br/%C3%9Altimos-escritos-econ%C3%B4micos-Karl-Marx/dp/8575597469/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=1-16
7,O homem mais rico da Babilônia,"Com mais de dois milhões de exemplares vendidos no mundo todo, O homem mais rico da Babilônia é um clássico sobre como multiplicar riqueza e solucionar problemas financeiros.

Baseando-se nos segredos de sucesso dos antigos babilônicos ― os habitantes da cidade mais rica e próspera de seu tempo ―, George S. Clason mostra soluções ao mesmo tempo sábias e muito atuais para evitar a falta de dinheiro, como não desperdiçar recursos durante tempos de opulência, buscar conhecimento e informação em vez de apenas lucro, assegurar uma renda para o futuro, manter a pontualidade no pagamento de dívidas e, sobretudo, cultivar as próprias aptidões, tornando-se cada vez mais habilidoso e consciente.",160 páginas,Português,HarperCollins; 1ª edição (4 agosto 2017),George S Clason,Economia,https://m.media-amazon.com/images/I/81HKcvLn15L._SY385_.jpg,978-8595081536,8595081530,https://www.amazon.com.br/Homem-Mais-Rico-Babil%C3%B4nia/dp/8595081530/ref=d_wsixn_inc_v1_sccl_2_3/137-7733330-2035121?content-id=amzn1.sym.6aae30b1-f28d-491f-8557-da944231f03f&pd_rd_i=8595081530&psc=1
8,Crash: Uma breve história da economia,"Dinheiro é um mecanismo engenhoso: permite que a manicure compre pão sem ter de fazer as unhas do padeiro. Sim, se você prestar atenção, vai ver que notas, moedas e os números que aparecem no saldo da sua conta são entidades abstratas, quase mágicas. Elas são feitas de tempo. Ao receber dinheiro de alguém, você está ganhando partículas do tempo que esse alguém dedicou a outra tarefa, para outra pessoa. Genial. Mas o que o dinheiro tem de brilhante a economia tem de insana. Na Roma Antiga, inventaram um congelamento de preços desastroso – no Brasil também. Na Holanda do século 17, uma bolha especulativa fez com que uma flor valesse o preço de uma casa. Em 2017, meia dúzia de bitcoins compravam um apartamento. Crash faz um passeio por 12 mil anos de civilização e traça paralelos entre o passado e o presente para explicar como funcionam as moedas, a inflação, o câmbio, o indo e vindo infinito de euforia e depressão na economia. E não menos importante: decifra o universo das ações, das criptomoedas, do Tesouro Direto, dos fundos de investimento. Também elucida as estratégias dos grandes investidores e as picaretagens dos aproveitadores. Com este livro, que chega à sua terceira versão, revista e atualizada para a realidade da terceira década do século 21, você vai entender como a história, a psicologia e até a biologia explicam a saga do dinheiro. E saber melhor o que fazer com o seu.",352 páginas,Português,HarperCollins; 1ª edição (9 setembro 2019),Alexandre Versignassi,Economia,https://m.media-amazon.com/images/I/61r3V8iuZVL._SY385_.jpg,978-8595085060,8595085064,https://www.amazon.com.br/Crash-Uma-breve-hist%C3%B3ria-economia/dp/8595085064/ref=sr_1_10?keywords=economia&sr=8-10
9,O mundo é plano,"Elogiado pela crítica e sucesso mundial de vendas, O mundo é plano tornou-se já referência na história das relações internacionais. Thomas Friedman, um dos principais articulistas do New York Times e vencedor de três prêmios Pulitzer, foi pioneiro em enxergar e definir a “nova globalização”, era em que os avanços da tecnologia e da comunicação permitiram que os indivíduos se conectassem como nunca antes, transformando as noções conhecidas de distância, tempo e trabalho. Momento este, defende o autor, que se mostrou positivo para os países emergentes, seus negócios e meio ambiente, ao contrário da era da “velha” globalização, que só beneficiava quem já detinha capital. Através da ideia de achatamento do mundo, Friedman descreve como as pessoas passaram a colaborar umas com as outras e também competir em um mundo de forças mais igualitárias, e procura assim explicar a ascensão de novos players mundiais, como Índia e China. A presente edição do livro traz dois capítulos em que o autor responde a perguntas frequentes de leitores, mostra como ser um ativista político e um empresário com preocupação social, e discute como é possível manter a reputação e a privacidade num tempo em que a informação circula de forma frenética. “Um negócio da China: começar o ano lendo O mundo é plano, do jornalista Thomas Friedman, do New York Times. É uma cápsula de 460 páginas para um voo por um caminho novo, inteligente e empreendedor.” - Elio Gaspari, Folha de S.Paulo “Grandes livros são os que nos fazem ver o mundo de outra forma, como O mundo é plano, de Thomas Friedman.” - Joseph E. Stiglitz",480 páginas,Português,Edição Econômica; Edição econômica (18 fevereiro 2014),Thomas L. Friedman,Economia,https://m.media-amazon.com/images/I/91tm1F7Xe7L._SY385_.jpg,978-8535923933,8535923934,https://www.amazon.com.br/mundo-plano-Thomas-L-Friedman/dp/8535923934/ref=sr_1_1?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=O+Mundo+%C3%A9+Plano&sr=8-1
