,titulo,descricao,paginas,idioma,editora,autor,genero,imgLink,isbn13,isbn10,amazonLink
0,Ciência no cotidiano: Viva a razão. Abaixo a ignorância!,"O simples fato de vivermos no século XXI já nos faz beneficiários da ciência e dos seus frutos, mesmo que a gente não se dê conta dessa verdade. Os objetos que nos dão conforto, que nos dão prazer, que nos transportam, que nos emocionam, que nos informam (até este livro) só existem da forma como existem por conta dos conhecimentos científicos. O cidadão que ignora fatos científicos básicos pode se tornar presa fácil de curandeiros e charlatões, gente que mente para os outros e, não raro, para si mesma.",160 páginas,Português,Contexto; 1ª edição (9 março 2020),Natalia Pasternak,Ciências,https://m.media-amazon.com/images/I/8164pNleshL._SY385_.jpg,978-8552001799,8552001799,https://www.amazon.com.br/Ci%C3%AAncia-cotidiano-raz%C3%A3o-Abaixo-ignor%C3%A2ncia/dp/8552001799/ref=monarch_sidesheet
1,Homo Deus,"Neste Homo Deus: uma breve história do amanhã, Yuval Noah Harari, autor do estrondoso best-seller Sapiens: uma breve história da humanidade, volta a combinar ciência, história e filosofia, desta vez para entender quem somos e descobrir para onde vamos. Sempre com um olhar no passado e nas nossas origens, Harari investiga o futuro da humanidade em busca de uma resposta tão difícil quanto essencial: depois de séculos de guerras, fome e pobreza, qual será nosso destino na Terra? A partir de uma visão absolutamente original de nossa história, ele combina pesquisas de ponta e os mais recentes avanços científicos à sua conhecida capacidade de observar o passado de uma maneira inteiramente nova. Assim, descobrir os próximos passos da evolução humana será também redescobrir quem fomos e quais caminhos tomamos para chegar até aqui.",448 páginas,Português,Companhia das Letras; 1ª edição (11 novembro 2016),Yuval Noah Harari,Ciências,https://m.media-amazon.com/images/I/81ql3Ty2O2L._SY385_.jpg,978-9588931623,8535928197,https://www.amazon.com.br/Homo-deus-Yuval-Noah-Harari/dp/8535928197/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=1-18
2,O oráculo da noite: A história e a ciência do sonho,"A partir de informações históricas, antropológicas, psicanalíticas e literárias, além das referências mais atualizadas da biologia molecular, da neurofisiologia e da medicina, o neurocientista compõe uma narrativa instigante sobre a ciência e a história do sonho.
O que é, afinal, o sonho? Para que ele serve? Como extrair sentido de seus tantos símbolos, repletos de detalhes e significados?
Neste livro, o renomado neurocientista Sidarta Ribeiro responde a essas e muitas outras questões sobre um dos grandes enigmas da humanidade ao recuperar narrativas literárias e históricas do mundo todo. Ele mostra como os sonhos eram importantes às civilizações antigas, como no Egito e na Grécia, situando-os no cerne da ciência e da política, ou como as culturas ameríndias preservam alguns dos exemplos mais bem documentados de profecias oníricas capazes de guiar povos inteiros. Ao mobilizar os principais debates da psicanálise, da medicina, da biologia molecular e da neurofisiologia,",488 páginas,Português,Companhia das Letras; 1ª edição (26 junho 2019),Sidarta Ribeiro,Ciências,https://m.media-amazon.com/images/I/A1+wS5LEQuL._SY385_.jpg,978-8535932171,8535932178,https://www.amazon.com.br/or%C3%A1culo-noite-hist%C3%B3ria-ci%C3%AAncia-sonho/dp/8535932178/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=1-21
3,Cosmos,"Escrito por um dos maiores divulgadores de ciência do século XX, Cosmos retraça 14 bilhões de anos de evolução cósmica, explorando tópicos como a origem da vida, o cérebro humano, hieróglifos egípcios, missões espaciais, a morte do sol, a evolução das galáxias e as forças e indivíduos que ajudaram a moldar a ciência moderna. Numa prosa transparente, Carl Sagan revela os segredos do planeta azul habitado por uma forma de vida que apenas começa a descobrir sua própria identidade e a se aventurar no vasto oceano do espaço sideral. Aqui, o tratamento dos temas científicos está sempre imbricado com outros campos de estudo tradicionais, como história, antropologia, arte e filosofia. Publicado pela primeira vez em 1980, Cosmos reúne alguns dos conhecimentos mais avançados da época sobre a natureza, a vida e o Universo ― e se mantém até hoje como uma das mais importantes obras de divulgação científica da história. Embora diversas descobertas fascinantes tenham ocorrido nos últimos quarenta anos, o tema central deste livro nunca estará desatualizado: nosso fascínio pelo conhecimento e a prática da ciência como atividade cultural.",560 páginas,Português,Companhia das Letras; 1ª edição (6 novembro 2017),Carl Sagan,Ciências,https://m.media-amazon.com/images/I/71zVhbnKmfL._SY385_.jpg,978-8535929881,8535929886,https://www.amazon.com.br/Cosmos-Carl-Sagan/dp/8535929886/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=1-1
4,"O grande livro de ciências do Manual do Mundo: Anotações incríveis e divertidas para você aprender sobre a vida, o universo e tudo mais","Com um milhão de exemplares vendidos no mundo, este livro traz INCRÍVEIS e DIVERTIDAS anotações para você aprender sobre a vida, o Universo e tudo mais.

Com mais de 14 milhões de inscritos, o Manual do Mundo é considerado pelo Guinness World Records o maior canal de Ciência e Tecnologia em língua portuguesa do planeta!",528 páginas,Português,Editora Sextante; 1ª edição (11 outubro 2019),Workman Publishing,Ciências,https://m.media-amazon.com/images/I/812r36QDAmL._SY385_.jpg,978-8543108667,8543108667,https://www.amazon.com.br/Grande-Livro-Ci%C3%AAncias-Manual-Mundo/dp/8543108667/ref=tmm_pap_swatch_0?_encoding=UTF8&sr=1-2
5,Pálido ponto azul (Nova edição): Uma visão do futuro da humanidade no espaço,"""Um dos grandes astrônomos do século XX, Carl Sagan revela como descobertas científicas alteraram a percepção de quem somos e do lugar que ocupamos no Universo. Edição inclui caderno de imagens. Temos algum tipo de privilégio em relação a outros corpos celestes? Qual deve ser nossa postura perante a imensidão do universo? Faz sentido investir em missões aeroespaciais incertas enquanto ainda somos incapazes de solucionar os problemas que nos afligem todos os dias? Em Pálido ponto azul, Carl Sagan esmiúça essas perguntas e continua a revolucionária investigação sobre o tempo e o espaço iniciada em Cosmos, uma das mais importantes obras de divulgação científica do século XX. Com a mesma linguagem envolvente do best-seller que conquistou milhões de leitores pelo mundo, ele traça a história das primeiras aventuras extraterrestres e avalia o futuro que se abre para nós a partir das viagens feitas pelo sistema solar e para galáxias distantes. “Talvez a melhor obra de Sagan.” ― The Washington Post “Refinado, empolgante. Uma linguagem sem jargões, impregnada de humor e emoção.” ― Time “Sagan vê o futuro da humanidade nas estrelas.” ― Chicago Tribune """,336 páginas,Português,Companhia das Letras; 2ª edição (6 fevereiro 2019),Carl Sagan,Ciências,https://m.media-amazon.com/images/I/91Amj-Jb+yL._SY385_.jpg,978-8535931938,8535931937,https://www.amazon.com.br/P%C3%A1lido-ponto-azul-Nova-edi%C3%A7%C3%A3o/dp/8535931937/ref=monarch_sidesheet
6,Nosso universo: a História do Cosmo e Seus Mistérios,"Jo Dunkley, renomada astrofísica e professora universitária, é a nossa guia nessa viagem fascinante através dos séculos de estudo da astronomia, nos apresentando ao trabalho de amadores e pesquisadores, com especial enfoque na participação das mulheres nesse campo, como Williamina Fleming, Vera C. Rubin e Jocelyn Bell Burnell. Com linguagem acessível e se valendo de exemplos diversos, é um livro indispensável para compreender melhor o funcionamento do cosmo.",296 páginas,Português,Todavia; 1ª edição (11 abril 2023),Jo Dunkley,Ciências,https://m.media-amazon.com/images/I/A10-EYZn6UL._SY385_.jpg,978-6556924243,6556924245,https://www.amazon.com.br/Nosso-universo-Hist%C3%B3ria-Cosmo-Mist%C3%A9rios/dp/6556924245/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=1-2
7,O livro da ciência,"O universo começou com o Big Bang? A luz é uma onda, uma partícula – ou os dois? Nós somos a causa do aquecimento global? Existem outros universos?

Escrito em linguagem simples e acessível, O livro da ciência é ricamente composto por infográficos, ilustrações e textos atraentes. A obra é fundamental e envolvente tanto para curiosos no assunto quanto para os estudantes mais entusiasmados. O título faz parte da coleção best-seller As grandes ideias de todos os tempos que tem mais de 20 títulos publicados pela Globo Livros e assuntos tão diversos como psicologia, mitologia, filosofia, mitologia, sociologia e história, entre tantos outros.",352 páginas,Português,Globo Livros; 2ª edição (1 junho 2016),Vários,Ciências,https://m.media-amazon.com/images/I/812Yjn5dHlL._SY385_.jpg,978-8525062482,8525062480,https://www.amazon.com.br/Livro-Ci%C3%AAncia-V%C3%A1rios-Autores/dp/8525062480/ref=sr_1_5?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=ci%C3%AAncia&sr=8-5
8,Ciência e pseudociência,"Você, ser racional, já se pegou acreditando em superstições ou qualquer coisa sem nenhuma evidência científica? Pois é, isso é muito mais comum do que se imagina, pois somos máquinas de crenças, que, antes de analisar criticamente, acreditamos ou desacreditamos de forma automática e só mais tarde procuramos raciocinar sobre a questão. E como combater essa tendência e não passar vexame espalhando fake news por aí? A resposta está neste livro do psicólogo e pesquisador Ronaldo Pilati: adquirir uma postura científica de compreensão do mundo. Nestes tempos de excesso de informações, muitas delas falsas, esta obra serve como um guia para se aprender como avaliar criticamente aquilo que se lê e que se ouve por aí sob o nome de “científico”.Esta obra fará você rever suas crenças. E sua vida.",160 páginas,Português,Contexto; 1ª edição (1 abril 2018),Ronaldo Pilati,Ciências,https://m.media-amazon.com/images/I/71a8fExJ64L._SY385_.jpg,978-8552000556,8552000555,https://www.amazon.com.br/Ci%C3%AAncia-Pseudoci%C3%AAncia-Acreditamos-Queremos-Acreditar/dp/8552000555/ref=monarch_sidesheet
9,Super-Heróis da Ciência: 52 cientistas e suas pesquisas transformadoras,"Miguel Nicolelis criou um controle remoto ativado pela mente. Helena Nader descobriu uma importante função do açúcar no nosso corpo. Carlos Chagas descreveu – adivinhe! – a doença de Chagas e Bertha Lutz catalogou novas espécies de rãs enquanto lutava pelos direitos das mulheres. A trajetória desses e de muitos outros cientistas brasileiros, suas descobertas incríveis e seus trabalhos pra lá de inovadores são contados aqui, com muito bom humor, pelas apresentadoras do canal Nunca Vi 1 Cientista, Ana Bonassa e Laura Marise, e por Renan de Araújo, do grupo Via Saber. Em textos descontraídos, acompanhados por ilustrações coloridas, o leitor conhecerá a história por trás de grandes descobertas, como tratamentos para doenças, soro contra venenos de cobras, medidas para preservar o meio ambiente. E ainda vai aprender, com um passo a passo detalhado, como se tornar um cientista!",160 páginas,Português,HarperKids; 1ª edição (15 abril 2021),Renan Vinicius de Araújo,Ciências,https://m.media-amazon.com/images/I/91Mv9zYscNL._SY385_.jpg,978-6555111330,655511133X,https://www.amazon.com.br/Super-Her%C3%B3is-Ci%C3%AAncia-cientistas-pesquisas-transformadoras/dp/655511133X/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=1-13
