,titulo,descricao,paginas,idioma,editora,autor,genero,img_link,isbn_13,isbn_10
0,Hábitos atômicos: Um método fácil e comprovado de criar bons hábitos e se livrar dos maus.,"BEST-SELLER DO NEW YORK TIMES.
Pequenas mudanças, resultados impressionantes. Não importa quais sejam seus objetivos, Hábitos Atômicos oferece um método eficaz para você se aprimorar ― todos os dias. James Clear, um dos mais expoentes especialistas na criação de hábitos, revela as estratégicas práticas que o ensinarão, exatamente, como criar bons hábitos, abandonar os maus e fazer pequenas mudanças de comportamento que levam a resultados impressionantes. Se enfrenta dificuldades para mudar seus hábitos, o problema não é você, é o sistema escolhido. Os maus hábitos se repetem sem parar porque você está usando o sistema errado, e não porque não queira mudar.Assim, suas limitações não são a complexidade de seu objetivo, mas a inadequação de seus sistemas.",320 páginas,Português,Alta Life,James Clear,Desenvolvimento Pessoal,"https://m.media-amazon.com/images/I/51DOkmV31rL._SX353_BO1,204,203,200_.jpg",978-8550807560,8550807567
1,As coisas que você só vê quando desacelera: Como manter a calma em um mundo frenético,"De tempos em tempos, surge um livro que, com sua maneira original de iluminar importantes temas espirituais, se torna um fenômeno tão grande em seu país de origem que acaba chamando a atenção e encantando leitores de todo o mundo.
Escrito pelo mestre zen-budista sul-coreano Haemin Sunim, As coisas que você só vê quando desacelera é um desses raros e tão necessários livros para quem deseja tranquilizar os pensamentos e cultivar a calma e a autocompaixão.",256 páginas,Português,Editora Sextante,Haemin Sunim,Desenvolvimento Pessoal,"https://m.media-amazon.com/images/I/61OEg3V-FTL._SX698_BO1,204,203,200_.jpg",978-8543105291,8543105293
2,"A psicologia financeira: lições atemporais sobre fortuna, ganância e felicidade","O livro de educação financeira mais comentado dos últimos anos, com mais de 1 milhão de exemplares vendidos no mundo todo!
O sucesso financeiro tem menos a ver com a sua inteligência e muito mais a ver com o seu comportamento. E a forma como alguém se comporta é uma coisa difícil de se ensinar, mesmo para pessoas bastante inteligentes.
A maneira como lidamos com o dinheiro ― finanças pessoais, investimentos, decisões de negócios ― costuma ser explicada como um campo puramente matemático, no qual dados e fórmulas nos dizem o que fazer. A verdade, porém, é que grandes decisões monetárias não são tomadas diante de uma planilha, mas durante jantares com a família e reuniões com os colegas de trabalho. Além disso, cada uma delas é um reflexo da história pessoal e das dificuldades enfrentadas pelo indivíduo que as tomou.",304 páginas,Português,HarperCollins,Morgan Housel,Desenvolvimento Pessoal,"https://m.media-amazon.com/images/I/41htlT5B29S._SX335_BO1,204,203,200_.jpg",978-6555111101,6555111100
3,Essencialismo: A disciplinada busca por menos,"Da lista de mais vendidos do The New York Times – 1 milhão de exemplares vendidos no mundo.
Nova edição em capa dura.
Inclui o Desafio 21 Dias de Essencialismo.

O essencialista não faz mais coisas em menos tempo – ele faz apenas as coisas certas.",288 páginas,Português,Editora Sextante,Greg McKeown,Desenvolvimento Pessoal,"https://m.media-amazon.com/images/I/41tL0XNglML._SX322_BO1,204,203,200_.jpg",978-6555641431,6555641436
4,SWITCH: como mudar as coisas quando a mudança é difícil,"Por que é tão difícil fazer mudanças duradouras em nossas empresas, comunidades e em nossas vidas?O principal obstáculo é o conflito incutido em nossos cérebros, dizem Chip e Dan Heath, autores do best-seller aclamado pela crítica, Ideias que Colam. Os psicólogos descobriram que nossas mentes são governadas por dois sistemas diferentes ― a mente racional e a emocional ―, que competem pelo controle. A mente racional quer um lindo corpo de praia; já a emocional, aquele biscoito Oreo. A mente racional quer mudar algo no trabalho; a emocional ama o conforto da rotina. Essa tensão acaba com qualquer esforço de mudança ― mas, se for superada, a transformação pode ocorrer rapidamente.Em Switch, os irmãos Heath mostram como pessoas comuns ― colaboradores, gestores, pais e enfermeiras ― uniram as duas mentes e, como consequência, atingiram resultados drásticos.Os humildes médicos internos que conseguiram derrotar uma antiga e arraigada prática médica que punha os pacientes em risco.A guru de organização doméstica que desenvolveu uma técnica simples para superar o ódio da faxina.O gestor que transformou uma equipe de atendimento ao cliente apática em fanáticos por atendimento ao remover uma ferramenta padrão do setor.",320 páginas,Português,Alta Books,Chip Heat,Desenvolvimento Pessoal,"https://m.media-amazon.com/images/I/41OTx7vjaVL._SX332_BO1,204,203,200_.jpg",978-8550804699,855080469X
5,A Sutil Arte de Ligar o F*da-Se: Uma estratégia inusitada para uma vida melhor,"Chega de tentar buscar um sucesso que só existe na sua cabeça. Chega de se torturar para pensar positivo enquanto sua vida vai ladeira abaixo. Chega de se sentir inferior por não ver o lado bom de estar no fundo do poço.
Coaching, autoajuda, desenvolvimento pessoal, mentalização positiva - sem querer desprezar o valor de nada disso, a grande verdade é que às vezes nos sentimos quase sufocados diante da pressão infinita por parecermos otimistas o tempo todo. É um pecado social se deixar abater quando as coisas não vão bem. Ninguém pode fracassar simplesmente, sem aprender nada com isso. Não dá mais. É insuportável. E é aí que entra a revolucionária e sutil arte de ligar o foda-se.",224 páginas,Português,Intrínseca,Mark Manson,Desenvolvimento Pessoal,"https://m.media-amazon.com/images/I/51KP4VQOF1L._SX332_BO1,204,203,200_.jpg",978-8551002490,8551004336
6,Mindset: A nova psicologia do sucesso,"Carol S. Dweck, ph.D., professora de psicologia na Universidade Stanford e especialista internacional em sucesso e motivação, desenvolveu, ao longo de décadas de pesquisa, um conceito fundamental: a atitude mental com que encaramos a vida, que ela chama de “mindset”, é crucial para o sucesso. Dweck revela de forma brilhante como o sucesso pode ser alcançado pela maneira como lidamos com nossos objetivos. O mindset não é um mero traço de personalidade, é a explicação de por que somos otimistas ou pessimistas, bem-sucedidos ou não. Ele define nossa relação com o trabalho e com as pessoas e a maneira como educamos nossos filhos. É um fator decisivo para que todo o nosso potencial seja explorado.",312 páginas,Português,Objetiva,Carol S. Dweck,Desenvolvimento Pessoal,"https://m.media-amazon.com/images/I/41suUFbw-eL._SX346_BO1,204,203,200_.jpg",978-8547000240,8547000240
7,Arrume a sua cama: Pequenas coisas que podem mudar a sua vida... E talvez o mundo - 2ª Edição,"Dez lições de um almirante das forças especiais para mudar sua vida
Quando foi convidado para proferir a aula inaugural dos alunos de graduação da Universidade do Texas, o almirante William McRaven pensou em compartilhar suas lições sobre liderança. Afinal, em 37 anos de carreira na marinha norteamericana, ele exerceu o comando em vários níveis – inclusive tendo sido o responsável pela missão que capturou Osama bin Laden. O que ele não imaginava é que o discurso fosse parar nas redes sociais, viralizar e ter mais de 10 milhões de visualizações!",128 páginas,Português,Academia,William H. McRaven,Desenvolvimento Pessoal,"https://m.media-amazon.com/images/I/51auYwIMZvL._SX331_BO1,204,203,200_.jpg",978-8542215786,8542215788
8,O milagre da manhã: O segredo para transformar sua vida (antes das 8 horas),"Hal Elrod apresenta o método revolucionário praticado por milhares de pessoas ao redor do mundo e que vai proporcionar, de forma simples e eficaz, que você construa a vida dos seus sonhos - antes das 8 horas da manhã! O milagre da manhã é best-seller internacional, com mais de 1 milhão de exemplares vendidos no Brasil. 
 Neste novo clássico da autoajuda, Hal Elrod explica os benefícios de acordar cedo e desenvolver todo o nosso potencial e as nossas habilidades. ",196 páginas,Português,BestSeller,Hal Elrod,Desenvolvimento Pessoal,"https://m.media-amazon.com/images/I/41zcA8iynSL._SX309_BO1,204,203,200_.jpg",978-8576849940,8576849941
9,Pare de tentar. Comece a fazer: Como se tornar mentalmente forte e assumir o controle da sua própria vida,"SE VOCÊ É FÃ DE MARK MANSON OU BRENÉ BROWN, VAI AMAR JULIA KRISTINA.

Medo de errar, culpa, ansiedade, autossabotagem, desejo extremo de agradar os outros... Há muitos motivos internos que nos levam a colocar nas mãos do outro o controle da nossa própria vida. É exatamente essa tendência de pensamento nocivo que a especialista Julia Kristina quer ajudar você a romper, ensinando a como se tornar emocionalmente mais forte e controlar os próprios pensamentos e emoções.

Este livro é para quem:
» Diz “sim” quando quer dizer “não”, só porque odeia desapontar os demais;
» Passa noites em claro com medo da opinião das outras pessoas sobre você;
» Nunca se sente suficiente no trabalho ou demais atividades da vida;
» Acha que finalmente será feliz apenas quando conseguir resolver aquele problema que tanto atrapalha sua vida.

Com técnicas e ferramentas eficientes para lidar com o domínio emocional de si, você aprenderá a estabelecer limites, a tomar as rédeas de sua vida e irá se tornar o único responsável por seu próprio bem-estar, colocando um fim naquilo que imobiliza suas atitudes.",256 páginas,Português,Astral Cultural,Julia Kristina,Desenvolvimento Pessoal,"https://m.media-amazon.com/images/I/41aK-+KZXML._SX339_BO1,204,203,200_.jpg",978-6555663273,6555663278
