,titulo,descricao,paginas,idioma,editora,autor,genero,imgLink,isbn13,isbn10,amazonLink
0,A Máquina do Tempo - HG Wells: Uma Invenção,"Um texto clássico para o leitor de ficção científica. 

Publicado em 1895, A Máquina do Tempo é considerado um dos primeiros romances a tratar do conceito de viagem no tempo.
O personagem central, um cientista apresentado na trama apenas como o Viajante do Tempo, constrói uma máquina capaz de viajar pela quarta dimensão.",112 páginas,Português,Via Leitura; 1ª edição (1 fevereiro 2017),H. G. Wells,Ficção Científica,https://m.media-amazon.com/images/I/71cL9wegDQL._SY385_.jpg,978-8567097381,856709738X,https://www.amazon.com.br/M%C3%A1quina-do-Tempo-H-Wells/dp/856709738X/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=
1,Fortaleza digital,"""Fortaleza Digital é o melhor e mais realista suspense tecnológico a chegar ao mercado em anos... Um susto a cada minuto."" – The Midwest Book Review
A agência de inteligência mais poderosa do mundo.
Uma brilhante criptógrafa.
Um código indecifrável.
Responsável por monitorar as comunicações de todo o planeta e proteger informações do governo dos Estados Unidos, a ultrassecreta NSA, a Agência de Segurança Nacional americana, investiu às escondidas numa arma revolucionária para combater a ação de grupos terroristas na era da informática. Seu trunfo é o supercomputador TRANSLTR, capaz de decifrar em poucos minutos qualquer mensagem encriptada enviada pela Internet.",336 páginas,Português,Editora Arqueiro; 2ª edição (5 maio 2015),Dan Brown,Ficção Científica,https://m.media-amazon.com/images/I/81JZXzyZUIL._SY385_.jpg,978-8580414059,8580414059,https://www.amazon.com.br/Fortaleza-digital-Dan-Brown/dp/8580414059/ref=monarch_sidesheet
2,Star Wars: o livro de Boba Fett,"Reviva a emoção da série de sucesso com esta adaptação em livro cheia de ação e aventura!


Após sobreviver à queda no poço do sarlacc, o ex-caçador de recompensas Boba Fett é curado e levado por uma tribo de Tuskens em Tatooine.
Quando a tribo é massacrada, Boba busca vingança e se instala no antigo palácio de Jabba, o Hutt, junto ao seu novo braço direito, a assassina Fennec Shand. Mas a luta pelo poder em Tatooine é mais complicada do que ele esperava, e Boba precisará da ajuda de novos e antigos aliados para garantir sua posição e vingar o Povo da Areia.",200 páginas,Português,Universo geek; 1ª edição (20 fevereiro 2023),Joe Schreiber,Ficção Científica,https://m.media-amazon.com/images/I/91zLWplSHFL._SY385_.jpg,978-6556093444,6556093440,https://www.amazon.com.br/Star-Wars-livro-Boba-Fett/dp/6556093440/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=1-16
3,Star Wars: A Velha República - Revan - CAPA DURA,"Herói, traidor, conquistador, vilão, salvador – o homem chamado Revan já foi tudo isso e é o protagonista desta história repleta de aventura, perigo e revelações, agora em uma edição de luxo!
 Revan deixou Coruscant como Jedi, em uma missão para derrotar os Mandalorianos, e retornou como discípulo Sith, empenhado em destruir a República. O Conselho Jedi devolveu a Revan sua vida, mas o preço da redenção foi a perda de suas lembranças. Tudo o que lhe resta são pesadelos – e um medo profundo e permanente.",352 páginas,Português,Universo geek; 2ª edição (20 junho 2022),Drew Karpyshyn,Ficção Científica,https://m.media-amazon.com/images/I/71c-6Z1L3CL._SY385_.jpg,978-6556092614,6556092614,https://www.amazon.com.br/Star-Wars-Velha-Rep%C3%BAblica-Revan/dp/6556092614/ref=tmm_hrd_swatch_0?_encoding=UTF8&qid=&sr=1-10
4,O Homem Invisível - HG Wells: Coleção Clássicos da Literatura Universal,"Publicado pela primeira vez em 1897, O homem invisível figura como uma das mais famosas obras de ficção científica já escritas.
Faz parte de uma série de romances produzidos no início da carreira de H. G. Wells, um dos pioneiros e mais reconhecidos nomes da literatura fantástica.
A história se passa na Inglaterra. O ambicioso cientista Griffin, após desenvolver uma fórmula que o torna invisível, perambula com o rosto coberto por bandagens, intrigando os habitantes de um vilarejo.",160 páginas,Português,Via Leitura; 1ª edição (1 fevereiro 2017),H. G. Wells,Ficção Científica,https://m.media-amazon.com/images/I/61jkwqfme4L._SY385_.jpg,978-8567097145,8567097142,https://www.amazon.com.br/Homem-Invis%C3%ADvel-Cl%C3%A1ssicos-Literatura-Universal/dp/8567097142/ref=sr_1_5?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=fic%C3%A7%C3%A3o+cient%C3%ADfica&s=books&sr=1-5
5,O guia do mochileiro das galáxias - Edição Ilustrada: 1,"Para celebrar o aniversário de 42 anos deste ícone da cultura pop, O Guia do Mochileiro das Galáxias ganha nova edição com ilustrações do premiado Chris Riddell.
NÃO ENTRE EM PÂNICO
Arthur Dent já estava tendo um dia péssimo antes mesmo de a Terra ser demolida para abrir espaço para uma via expressa hiperespacial.",320 páginas,Português,Editora Arqueiro; 1ª edição (12 maio 2021),Douglas Adams,Ficção Científica,https://m.media-amazon.com/images/I/91NAJgaUlKL._SY385_.jpg,978-6555651324,6555651326,https://www.amazon.com.br/guia-mochileiro-das-gal%C3%A1xias-Ilustrada/dp/6555651326/ref=tmm_hrd_swatch_0?_encoding=UTF8&qid=&sr=
6,Neuromancer: 1,"O Céu sobre o porto tinha cor de televisão num canal fora do ar. Considerada a obra precursora do movimento cyberpunk e um clássico da ficção científica moderna, Neuromancer conta a história de Case, um cowboy do ciberespaço e hacker da matrix. Como punição por tentar enganar os patrões, seu sistema nervoso foi contaminado por uma toxina que o impede de entrar no mundo virtual. Agora, ele vaga pelos subúrbios de Tóquio, cometendo pequenos crimes para sobreviver, e acaba se envolvendo em uma jornada que mudará para sempre o mundo e a percepção da realidade. Evoluindo de Blade Runner e antecipando Matrix, Neuromancer é o romance de estreia de William Gibson. Esta obra distópica, publicada em 1984, antevê, de modo muito preciso, vários aspectos fundamentais da sociedade atual e de sua relação com a tecnologia. Foi o primeiro livro a ganhar a chamada “tríplice coroa da ficção científica”: os prestigiados prêmios Hugo, Nebula e Philip K. Dick.",320 páginas,Português,Editora Aleph; 5ª edição (19 agosto 2016),William Gibson,Ficção Científica,https://m.media-amazon.com/images/I/91Bx5ilP+EL._SY385_.jpg,978-8576573005,8576573008,https://www.amazon.com.br/Neuromancer-William-Gibson/dp/8576573008/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=
7,A Biblioteca da Meia-Noite,"""
A Biblioteca da Meia-Noite é um romance incrível que fala dos infinitos rumos que a vida pode tomar e da busca incessante pelo rumo certo.
 Aos 35 anos, Nora Seed é uma mulher cheia de talentos e poucas conquistas. Arrependida das escolhas que fez no passado, ela vive se perguntando o que poderia ter acontecido caso tivesse vivido de maneira diferente. Após ser demitida e seu gato ser atropelado, Nora vê pouco sentido em sua existência e decide colocar um ponto final em tudo. Porém, quando se vê na Biblioteca da Meia-Noite, Nora ganha uma oportunidade única de viver todas as vidas que poderia ter vivido.",308 páginas,Português,Bertrand Brasil; 8ª edição (27 setembro 2021),Matt Haig,Ficção Científica,https://m.media-amazon.com/images/I/81iqH8dpjuL._SY385_.jpg,978-6558380542,6558380544,https://www.amazon.com.br/Biblioteca-Meia-Noite-Matt-Haig/dp/6558380544/ref=sr_1_3?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=fic%C3%A7%C3%A3o&sr=8-3
8,O Homem de Giz,"Assassinato e sinais misteriosos em uma trama para fãs de Stranger Things e Stephen King
Em 1986, Eddie e os amigos passam a maior parte dos dias andando de bicicleta pela pacata vizinhança em busca de aventuras. Os desenhos a giz são seu código secreto: homenzinhos rabiscados no asfalto; mensagens que só eles entendem. Mas um desenho misterioso leva o grupo de crianças até um corpo desmembrado e espalhado em um bosque. Depois disso, nada mais é como antes.",272 páginas,Português,Intrínseca; Capa dura edição (15 março 2018),C. J. Tudor,Ficção Científica,https://m.media-amazon.com/images/I/91o6FMAy8UL._SY385_.jpg,978-8551002933,8551002937,https://www.amazon.com.br/Homem-Giz-C-J-Tudor/dp/8551002937/ref=tmm_hrd_swatch_0?_encoding=UTF8&qid=&sr=
9,"Regresso Do Peregrino: Uma defesa alegórica do cristianismo, da razão e do romantismo","O primeiro livro publicado por C. S.Lewis após sua conversão,",320 páginas,Português,Thomas Nelson Brasil; 1ª edição (15 março 2022),C.S. Lewis,Ficção Científica,https://m.media-amazon.com/images/I/910KTUzKK0L._SY385_.jpg,978-6556893815,6556893811,https://www.amazon.com.br/Regresso-Peregrino-aleg%C3%B3rica-cristianismo-romantismo/dp/6556893811/ref=tmm_hrd_swatch_0?_encoding=UTF8&qid=&sr=1-1
