,titulo,descricao,paginas,idioma,editora,autor,genero,imgLink,isbn13,isbn10,amazonLink
0,Empreendedorismo e desenvolvimento local como estratégia competitiva,"Sejam bem-vindos a um verdadeiro manual do mundo do empreendedorismo e do desenvolvimento nos dias atuais.Nesta publicação, o autor Renato Dias Regazzi reúne o que conhece e ensina a todos os que, com ele, têm o prazer de construir novos ambientes e uma forma de fazer negócios. Tais negócios precisam estar ancorados nos novos tempos e integrados a uma cadeia produtiva, tecnológica e comercial na qual cada vez mais o local ganha importância, por estar conectado e por ser afetado pelas mudanças globais.A pandemia deu início a uma série de mudanças que até então vinham sendo testadas, mas que nunca teriam ganhado escala se não estivéssemos diante de tantas incertezas. E para consolidar esse conhecimento que adquirimos com o fazer e o experimentar, nada melhor do que ver esse cenário sendo montado peça por peça, capítulo a capítulo, como um grande quebra-cabeças que nos desafia individualmente e como corporação que somos – ou podemos nos transformar – ao decidirmos empreender. Afinal, nem o céu é o limite para quem se levanta e faz.Assim, Empreendedorismo e desenvolvimento local como estratégia competitiva é uma referência e um instrumento de grande relevância para quem deseja empreender e fazer a diferença no mundo profissional, dos negócios e do desenvolvimento econômico e social.Boa leitura!",136 páginas,Português,Editora Senac Rio,Renato Dias Regazzi,Negócios e Empreendedorismo,"https://m.media-amazon.com/images/I/419AxdXPt4L._SX343_BO1,204,203,200_.jpg",978-6586493689,6586493684,https://www.amazon.com.br/Empreendedorismo-Desenvolvimento-Local-Estrat%C3%A9gia-Competitiva/dp/6586493684/ref=sr_1_2_sspa?keywords=empreendedorismo&s=books&sr=1-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
1,O Modelo Toyota de Excelência em Serviços: A Transformação Lean em Organizações de Serviço,"Leitura obrigatória para os profissionais da área de serviço, este livro leva os princípios lean da série best-seller O Modelo Toyota diretamente para as indústrias em que a qualidade do serviço é crucial para o sucesso. Jeff Liker e Karyn Ross mostram como desenvolver os princípios lean em uma organização usando o famoso modelo dos 4Ps. Os casos apresentados são de muitas indústrias diferentes, incluindo saúde, seguros, serviços financeiros e telecomunicações, e comprovam que os princípios e as práticas lean funcionam tão bem em serviços quanto em manufatura.",448 páginas,Português,Bookman,Jeffrey K. Liker,Negócios e Empreendedorismo,"https://m.media-amazon.com/images/I/51NBsGBFOWL._SX348_BO1,204,203,200_.jpg",978-8582604748,8582604742,https://www.amazon.com.br/Modelo-Toyota-Excel%C3%AAncia-Servi%C3%A7os-Transforma%C3%A7%C3%A3o/dp/8582604742/ref=monarch_sidesheet
2,"Simplificando os negócios: 60 dias para dominar liderança, vendas, marketing, execução, gestão, produtividade pessoal e muito mais","Este livro é mais útil do que um Diploma em negócios?
A maioria das pessoas inicia suas carreiras sem entender como fazer uma empresa crescer. Às vezes, isso as faz se sentirem perdidas, ou pior, uma fraude, como se não soubessem o que estão fazendo.
É difícil ter sucesso sem uma compreensão clara de como os negócios funcionam. Essas 60 leituras diárias são cruciais para todo profissional da área que queira elevar sua carreira para o próximo nível.",240 páginas,Português,Alta Books,Donald Miller,Negócios e Empreendedorismo,"https://m.media-amazon.com/images/I/41XNR4nWBtL._SX342_BO1,204,203,200_.jpg",978-6555207071,6555207078,https://www.amazon.com.br/Simplificando-neg%C3%B3cios-lideran%C3%A7a-marketing-produtividade/dp/6555207078/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=1-7
3,Mestres da escala: As grandes ideias que transformaram pequenos negócios em sucessos globais,"“Reid Hoffman tem talento para ir direto ao coração de cada caso e transformá-lo em uma lição inesquecível. Quem gosta de histórias bem contadas vai saborear este livro.” – Bob Iger, CEO da The Walt Disney Company
“Para liderar com visão e coração, comece aprendendo com os outros. Hoffman conta ótimas histórias para ensinar lições e traz conselhos sólidos (e às vezes surpreendentes!) para acelerar sua jornada.” – Angela Ahrendts, ex-vice-presidente de varejo da Apple",304 páginas,Português,Editora Sextante,Reid Hoffman,Negócios e Empreendedorismo,"https://m.media-amazon.com/images/I/51QJzWO9AML._SX347_BO1,204,203,200_.jpg",978-6555645934,6555645938,https://www.amazon.com.br/Mestres-escala-transformaram-pequenos-neg%C3%B3cios/dp/6555645938/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=1-8
4,A fórmula do lançamento,"""
A bíblia do marketing digital. Como vender on-line e criar um negócio de sucesso.
 Foi isso que Jeff Walker, autor deste livro e criador da Product Launch Formula™, desenvolveu. Ele mudou a vida de milhares de pessoas com esse método, e agora também pode mudar a sua, ajudando-o a criar um negócio que ame e a alcançar a vida de seus sonhos.",352 páginas,Português,Best Business,Jeff Walker,Negócios e Empreendedorismo,"https://m.media-amazon.com/images/I/41jxhjtzrdL._SX322_BO1,204,203,200_.jpg",978-8568905081,8568905080,https://www.amazon.com.br/f%C3%B3rmula-do-lan%C3%A7amento-Jeff-Walker/dp/8568905080/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=1-9
5,Empreendedores inteligentes enriquecem mais: Inteligência financeira para quem já tem ou quer começar o próprio negócio,"Em épocas de crise econômica e desemprego em alta, cresce o número de pessoas que resolvem abrir a própria empresa. Em geral, esses empreendedores concentram todos os esforços no desenvolvimento de produtos ou serviços, sem se preocupar muito com um plano de negócios ou a parte financeira.
Duas situações costumam acontecer: ou o empreendedor ainda não tem condições de contratar especialistas para cuidar dos números e tenta gerenciá-los com seus conhecimentos básicos, ou então delega a tarefa e não quer mais saber do assunto. Em ambos os casos, ele fica ""no escuro"", pois abre mão de uma parte importante da gestão.",208 páginas,Português,Editora Sextante,Gustavo Cerbasi,Negócios e Empreendedorismo,"https://m.media-amazon.com/images/I/516b3ygKfFL._SX346_BO1,204,203,200_.jpg",978-8543104126,8543104122,https://www.amazon.com.br/Empreendedores-inteligentes-enriquecem-Gustavo-Cerbasi/dp/8543104122/ref=sr_1_4?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=empreendedorismo&s=books&sr=1-4
6,A mente do empreendedor,"Steve Jobs, Jeff Bezos, Mark Zuckerberg, Bill Gates, Valerie Gaydos e Sara Blakely. O que eles - entre outros tantos empreendedores geniais - têm em comum? Sucesso em seus negócios! A verdade é que milhares de pessoas tentam empreender. Muitos erram. Alguns acertam. Mas pouquíssimos tornam-se empresários incrivelmente bem sucedidos. Kevin D. Johnson acredita que, se os empresários souberem o que se passa dentro da cabeça dos empreendedores mais bem sucedidos do mundo, serão mais precisos nas suas decisões do dia a dia e aumentarão a chance de acertar. Segundo o autor, você precisa mudar seu modo de pensar. Em outras palavras, precisa interiorizar a “mente do empreendedor”: um jeito de pensar que foca nas lições mais importantes e vitais desses grandes nomes. E é exatamente isso que Kevin D. Johnson oferece neste livro. O autor pesquisou profundamente e encontrou hábitos, crenças e características em comum entre esses grandes nomes.",288 páginas,Português,Astral Cultural,Kevin D. Johnson,Negócios e Empreendedorismo,"https://m.media-amazon.com/images/I/513Dg30TZoL._SX346_BO1,204,203,200_.jpg",978-8582468692,8582468695,https://www.amazon.com.br/mente-do-empreendedor-Kevin-Johnson/dp/8582468695/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=1-2
7,"O poder do equity: Como investir em negócios inovadores, escaláveis e exponenciais e se tornar um investidor-anjo.","“Para se tornar investidor-anjo e fazer parte de maneira ativa do ecossistema empreendedor, é preciso, antes de tudo, preparação e conhecimento.” – João Kepler COM TODA CERTEZA, SE VOCÊ ESTÁ COM ESTE LIVRO EM MÃOS, É PORQUE BUSCA COMPREENDER A NOVA ECONOMIA E A LÓGICA POR TRÁS DOS INVESTIMENTOS EM STARTUPS. Equity é a participação acionária em negócios. Nem sempre os empresários pensam sobre isso quando vão abrir uma empresa. Pensam em margem, ganhos, trabalhador/hora, lucro, pró-labore e distribuição de dividendos aos sócios. Nada de errado em relação a isso, mas quase sempre o fazem sem uma estratégia para geração de valor futuro. É necessário que o empresário, o empreendedor e o investidor tenham pensamento e estratégia visando o longo prazo – o que neste livro é a mentalidade equity. A ideia de O poder do equity é a “riqueza invisível” que existe nos negócios e na Nova Economia e que poucos conseguem entender e aplicar. Este livro é uma ferramenta muito importante para quem deseja ter mentalidade equity, investir em startups e desenvolver negócios na Nova Economia. • Como ter mentalidade equity? • Como entender a Nova Economia? • Como investir em negócios escaláveis? • Como se tornar um investidor-anjo? • Como calcular o valuation? • Como diversificar o portfólio de investimentos? • Como calcular e ter retornos acima da média de mercado? • Como mitigar riscos? • Como avaliar startups? • Onde encontrar startups nas quais investir? • Como escolher em que investir? • O que perguntar antes de investir? • Quais são os documentos e os cuidados para se resguardar e começar a investir? • Como fazer gestão de portfólio? • Como funciona a governança de empresas ágeis? São muitas as perguntas e dúvidas. Agora está na hora de você descobrir as respostas para todas elas dentro deste livro.",192 páginas,Português,Gente,João Kepler,Negócios e Empreendedorismo,"https://m.media-amazon.com/images/I/51ePV9qoWIL._SX345_BO1,204,203,200_.jpg",978-6555441017,6555441011,https://www.amazon.com.br/poder-equity-inovadores-exponenciais-investidor-anjo/dp/6555441011/ref=sr_1_15?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=startup&sr=8-15
8,A startup enxuta: Como usar a inovação contínua para criar negócios radicalmente bem-sucedidos,"MAIS DE 1 MILHÃO DE LIVROS VENDIDOS.
Como usar a inovação contínua para criar negócios radicalmente bem-sucedidos.
""Ries criou ciência onde anteriormente havia apenas arte. Uma leitura obrigatória para todo empreendedor sério e todo gestor interessado em inovação."" ― MARC ANDREESSEN, cofundador da Andreessen Horowitz, da Opsware e da Netscape",268 páginas,Português,Editora Sextante,Eric Ries,Negócios e Empreendedorismo,"https://m.media-amazon.com/images/I/41ch3v4+mpL._SX341_BO1,204,203,200_.jpg",978-8543108629,8543108624,https://www.amazon.com.br/startup-enxuta-Eric-Ries/dp/8543108624/ref=sr_1_5?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=startup&sr=8-5
9,"Instagram, WhatsApp e Facebook para Negócios: Como ter lucro através dos três principais canais de venda","Se quer dominar as vendas online, este livro é para você.
Nele vai aprender a trabalhar de forma correta os três principais canais de vendas do momento: Instagram, WhatsApp e Facebook. Seja através da criação de conteúdo ou de anúncios pagos, este livro irá mostrar-lhe o caminho que precisa de percorrer para ter uma presença online eficaz
Muitos empreendedores acreditam que criar uma conta numa rede social ou ter um site já é o suficiente. Na verdade, esse é apenas o primeiro passo. As vendas e o sucesso da sua empresa acontecem depois de criar as suas contas. O que publicar, quando publicar, que anúncios fazer ou como fazer esses anúncios são apenas alguns dos aspectos que precisa de dominar para ter êxito online. Neste livro você encontra tudo o que precisa de saber para dominar os três principais apps de comunicação do mundo.",304 páginas,Português,DVS EDITORA,Luciano Larrossa,Negócios e Empreendedorismo,"https://m.media-amazon.com/images/I/51HTRo-FWYL._SX393_BO1,204,203,200_.jpg",978-6556950228,655695022X,https://www.amazon.com.br/Instagram-WhatsApp-Facebook-para-Neg%C3%B3cios/dp/655695022X/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=1-19
